date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:38:23	52005/52005	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Dec%202006%2014:38:05%20GMT	http://dreadnaut.altervista.org/pascal/tp7ita/index.html	C:/Users/csanc/PersonalDrive/Github/PCDAAD/tphelp/TPHELP/dreadnaut.altervista.org/pascal/tp7ita/index.html	(from )
16:38:24	20/20	---M-Z	200	added ('OK')	text/plain	etag:%22980806-0-4750c8918bdc0%22	http://dreadnaut.altervista.org/robots.txt		(from )
16:38:24	1260/1260	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Dec%202006%2014:37:52%20GMT	http://dreadnaut.altervista.org/pascal/tp7ita/0479.html	C:/Users/csanc/PersonalDrive/Github/PCDAAD/tphelp/TPHELP/dreadnaut.altervista.org/pascal/tp7ita/0479.html	(from http://dreadnaut.altervista.org/pascal/tp7ita/index.html)
16:38:24	1432/1432	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Dec%202006%2014:37:53%20GMT	http://dreadnaut.altervista.org/pascal/tp7ita/0480.html	C:/Users/csanc/PersonalDrive/Github/PCDAAD/tphelp/TPHELP/dreadnaut.altervista.org/pascal/tp7ita/0480.html	(from http://dreadnaut.altervista.org/pascal/tp7ita/index.html)
16:38:24	2143/2143	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Oct%202006%2016:19:17%20GMT	http://dreadnaut.altervista.org/pascal/tp7ita/05D9.html	C:/Users/csanc/PersonalDrive/Github/PCDAAD/tphelp/TPHELP/dreadnaut.altervista.org/pascal/tp7ita/05D9.html	(from http://dreadnaut.altervista.org/pascal/tp7ita/index.html)
16:38:25	2466/2466	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Oct%202006%2016:19:18%20GMT	http://dreadnaut.altervista.org/pascal/tp7ita/05DC.html	C:/Users/csanc/PersonalDrive/Github/PCDAAD/tphelp/TPHELP/dreadnaut.altervista.org/pascal/tp7ita/05DC.html	(from http://dreadnaut.altervista.org/pascal/tp7ita/index.html)
16:38:25	1498/1498	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Oct%202006%2016:19:28%20GMT	http://dreadnaut.altervista.org/pascal/tp7ita/06BD.html	C:/Users/csanc/PersonalDrive/Github/PCDAAD/tphelp/TPHELP/dreadnaut.altervista.org/pascal/tp7ita/06BD.html	(from http://dreadnaut.altervista.org/pascal/tp7ita/index.html)
16:38:25	1968/1968	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Oct%202006%2016:19:06%20GMT	http://dreadnaut.altervista.org/pascal/tp7ita/0538.html	C:/Users/csanc/PersonalDrive/Github/PCDAAD/tphelp/TPHELP/dreadnaut.altervista.org/pascal/tp7ita/0538.html	(from http://dreadnaut.altervista.org/pascal/tp7ita/index.html)
16:38:25	1836/1836	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Oct%202006%2016:19:07%20GMT	http://dreadnaut.altervista.org/pascal/tp7ita/0539.html	C:/Users/csanc/PersonalDrive/Github/PCDAAD/tphelp/TPHELP/dreadnaut.altervista.org/pascal/tp7ita/0539.html	(from http://dreadnaut.altervista.org/pascal/tp7ita/index.html)
16:38:26	1949/1949	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Oct%202006%2016:19:08%20GMT	http://dreadnaut.altervista.org/pascal/tp7ita/053B.html	C:/Users/csanc/PersonalDrive/Github/PCDAAD/tphelp/TPHELP/dreadnaut.altervista.org/pascal/tp7ita/053B.html	(from http://dreadnaut.altervista.org/pascal/tp7ita/index.html)
16:38:26	1058/1058	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Dec%202006%2014:37:54%20GMT	http://dreadnaut.altervista.org/pascal/tp7ita/0694.html	C:/Users/csanc/PersonalDrive/Github/PCDAAD/tphelp/TPHELP/dreadnaut.altervista.org/pascal/tp7ita/0694.html	(from http://dreadnaut.altervista.org/pascal/tp7ita/index.html)
